il;plaka;degisken;y2005;y2010;y2015
Istanbul;34;GDPpc;16749;26253;49773
Istanbul;34;RGDPpc;13986;14384;18601.5
Istanbul;34;GDPpc_USD;12428;17480;18343
Istanbul;34;population;12000000;13100000;14500000
Izmir;35;GDPpc;12011;18308;34261
Izmir;35;RGDPpc;9922;10211.2;12926.7
Izmir;35;GDPpc_USD;8912;12190;12626
Izmir;35;population;3626321;3908672;4140726
Ankara;6;GDPpc;15392;23997;40679
Ankara;6;RGDPpc;12910;13018.7;15029.1
Ankara;6;GDPpc_USD;11420;15978;14992
Ankara;6;population;4252588;4711187;5210297
